CandID,site
907107,UMN
812039,UMN
469090,UMN
469090,UMN
469090,UMN
469090,UMN
469090,UMN
469090,UMN
469090,UMN
469090,UMN
117532,UMN
957492,UMN
258397,UMN
375539,UMN
442195,UMN
675362,UMN
675362,UMN
675362,UMN
675362,UMN
675362,UMN
675362,UMN
218129,UMN
396170,UMN
584381,UMN
584381,UMN
584381,UMN
584381,UMN
693817,UMN
100048,UMN
266437,UMN
266437,UMN
266437,UMN
266437,UMN
266437,UMN
266437,UMN
551241,UMN
743597,UMN
661045,UMN
661045,UMN
661045,UMN
661045,UMN
661045,UMN
661045,UMN
270471,UMN
270471,UMN
641446,UMN
761141,UMN
761141,UMN
643333,UMN
587885,UMN
601017,UMN
601017,UMN
601017,UMN
601017,UMN
601017,UMN
601017,UMN
114078,UMN
957439,UMN
981664,UMN
981664,UMN
981664,UMN
981664,UMN
981664,UMN
981664,UMN
981664,UMN
578320,UMN
723526,UMN
684448,UMN
684448,UMN
684448,UMN
684448,UMN
684448,UMN
684448,UMN
925936,UMN
234130,UMN
234130,UMN
234130,UMN
234130,UMN
234130,UMN
234130,UMN
515611,UMN
883152,UMN
676274,UMN
676274,UMN
676274,UMN
676274,UMN
676274,UMN
676274,UMN
676274,UMN
96301,UMN
505849,UMN
176851,UMN
176851,UMN
176851,UMN
176851,UMN
176851,UMN
176851,UMN
709867,UMN
594390,UMN
590275,UMN
590275,UMN
241351,UMN
867563,UMN
933910,UMN
933910,UMN
933910,UMN
933910,UMN
933910,UMN
933910,UMN
28161,UMN
45261,UMN
519250,UMN
519250,UMN
519250,UMN
519250,UMN
519250,UMN
883617,UMN
82424,UMN
826360,UMN
826360,UMN
826360,UMN
826360,UMN
826360,UMN
826360,UMN
757643,UMN
995102,UMN
908191,UMN
908191,UMN
908191,UMN
908191,UMN
908191,UMN
908191,UMN
481321,UMN
816288,UMN
583494,UMN
583494,UMN
583494,UMN
583494,UMN
583494,UMN
583494,UMN
469379,UMN
853992,UMN
495082,UMN
495082,UMN
516746,UMN
747241,UMN
107842,UMN
107842,UMN
107842,UMN
107842,UMN
107842,UMN
107842,UMN
107842,UMN
782967,UMN
325849,UMN
904006,UMN
904006,UMN
740317,UMN
740317,UMN
